Date,Close,High,Low,Open,Volume
2024-11-14,23751.908203125,24140.53422762272,23546.16501368504,24140.53422762272,4118900
2024-11-15,24277.6953125,24369.1367261064,23751.907184263186,23751.907184263186,3965800
2024-11-18,23637.60546875,24300.555718840667,23591.884761847195,24277.695365389263,3489200
2024-11-19,24094.8125,24186.25391366224,23637.605431688804,23637.605431688804,3589000
2024-11-20,24163.39453125,24277.696302921,23980.511696576395,24140.5341769158,2877800
2024-11-21,24391.998046875,24574.880881340792,24231.975566717432,24231.975566717432,4192700
2024-11-22,24689.181640625,24849.204114221644,24460.57810691551,24460.57810691551,4332300
2024-11-25,25237.830078125,25512.15431810461,24712.041951497395,24872.06442481884,10559100
2024-11-26,25146.388671875,25512.15432528409,25009.22655184659,25237.83008522728,3365800
2024-11-28,25032.087890625,25512.15532962329,25009.22753638699,25146.38966181507,2831500
2024-11-29,24483.439453125,25146.389727766105,24483.439453125,25032.08795627626,3598000
2024-12-02,25054.947265625,25420.71291913777,24483.43843201129,24483.43843201129,3899900
2024-12-03,24826.34375,25397.85258402393,24620.60056975138,25100.66799033149,2433500
2024-12-04,25260.69140625,25260.69140625,24940.646447256782,24963.506801470587,2384200
2024-12-05,25260.69140625,25283.5517604638,25146.389635181,25260.69140625,1133200
2024-12-06,25557.875,25580.73535330948,25169.24899373882,25283.550760286224,2622700
2024-12-09,26060.802734375,26060.802734375,25580.735315583883,25603.59566885965,3842500
2024-12-10,25786.478515625,26060.802755152923,25580.73533597905,26060.802755152923,3040000
2024-12-11,25397.853515625,25786.479537016203,25283.551744627588,25329.272453026555,3233200
2024-12-12,25557.875,25969.36135957066,25374.992173524148,25397.85252683363,2407100
2024-12-13,25717.8984375,25717.8984375,25329.272416666667,25557.87595833333,2534000
2024-12-16,25626.45703125,25740.7588021298,25283.55171861061,25717.89844795384,2294000
2024-12-17,24003.37109375,25580.73547991072,23820.488266369048,25580.73547991072,7094300
2024-12-18,24026.232421875,24483.439508875475,23980.51171317496,24117.673839275096,2372600
2024-12-19,24049.091796875,24094.812503713165,23637.605435331512,24026.23144345592,2782200
2024-12-20,23477.583984375,24117.67390799964,22997.516541656525,24049.09284475414,7273800
2024-12-23,23271.83984375,23683.326206409627,22906.07418805256,23500.443378560904,4394000
2024-12-24,23043.236328125,23340.42092362661,22928.93456062438,23340.42092362661,1643700
2024-12-27,23226.119140625,23226.119140625,22951.794898806595,23043.236312746063,1661000
2024-12-30,24483.439453125,24483.439453125,22906.075006565126,23226.119966736696,3934400
2025-01-02,23500.443359375,24323.41608402237,23317.560531675583,24323.41608402237,3884300
2025-01-03,23386.142578125,23797.628957798755,23203.259742714443,23523.30470468292,3428600
2025-01-06,23226.119140625,23523.303735928275,22974.65525229146,23386.14161501907,2878100
2025-01-07,23637.60546875,23706.18652910421,23203.258753173355,23340.42087388177,4428000
2025-01-08,23020.376953125,23706.187587279663,23020.376953125,23683.32723280785,3282800
2025-01-09,22837.494140625,23271.84087603228,22791.77343163476,23043.23733108108,2091600
2025-01-10,22951.794921875,23088.957042922066,22700.33103328872,22860.353507843625,3075600
2025-01-13,23226.119140625,23363.281261534205,22700.33101047305,23043.236312746063,4009100
2025-01-14,23317.560546875,23523.30372817096,22997.515598192404,23340.42090035233,2289400
2025-01-15,23500.443359375,23660.46583361199,23431.86229898772,23477.583005912573,1736400
2025-01-16,23934.791015625,24049.09278742837,23500.444282772205,23500.444282772205,2570100
2025-01-17,24163.39453125,24231.9755942526,23934.790987908,24003.372050910595,2917500
2025-01-20,23751.908203125,24323.417062680463,23751.908203125,24254.835999533807,2690200
2025-01-21,23500.443359375,24231.974670172665,23500.443359375,23889.06936823626,2606400
2025-01-22,23706.1875,23866.2099807136,23431.86324734812,23614.746082449376,2601600
2025-01-23,23271.83984375,23797.62797381508,23271.83984375,23729.046913371807,2287000
2025-01-24,22951.794921875,23500.44340606325,22951.794921875,23409.00199203188,2611600
2025-01-30,22380.287109375,22951.79597325077,22220.264627489785,22951.79597325077,4037500
2025-01-31,22746.052734375,22860.354506909545,22334.566353250622,22357.42670775754,3379800
2025-02-03,22860.353515625,22883.213869140625,22403.1464453125,22746.05174804688,2278000
2025-02-04,22860.353515625,23066.096697265624,22471.727505859377,22883.213869140625,2061300
2025-02-05,22997.515625,23317.560574055668,22723.191382952285,23317.560574055668,3431600
2025-02-06,22334.56640625,22997.51668852354,22128.82321519959,22997.51668852354,3032100
2025-02-07,22677.470703125,22677.470703125,21900.21868305821,22334.56540015436,2811700
2025-02-10,22060.2421875,22517.44927946891,21945.94041450777,22517.44927946891,3925000
2025-02-11,22334.56640625,22403.14746993347,22014.52144239381,22105.962860638432,2780500
2025-02-12,22746.052734375,22974.65627944409,22220.26458071608,22334.566353250622,2726000
2025-02-13,22403.146484375,22768.91214126276,22174.54294882015,22768.91214126276,2606900
2025-02-14,22906.07421875,22974.65527928518,22311.70502744511,22426.00679500374,1981700
2025-02-17,22677.470703125,22906.07423843876,22426.006814279863,22906.07423843876,2133500
2025-02-18,22608.890625,23111.818424545,22608.890625,22677.47168857432,1909700
2025-02-19,23043.236328125,23043.236328125,22654.61031862289,22814.63279312376,3952300
2025-02-20,22631.75,22974.655303030304,22517.44823232324,22906.074242424245,3703300
2025-02-21,22471.728515625,22837.49418831065,22426.00780653929,22631.750997424973,2283200
2025-02-24,22860.353515625,23020.375990234377,22448.86715234375,22494.587859375,1932400
2025-02-25,21488.732421875,22723.1915184508,21351.570300033243,22677.470811170213,7395400
2025-02-26,21397.291015625,21854.49808860844,21100.10641818576,21854.49808860844,4548200
2025-02-27,21420.15234375,21900.21979222252,21145.82808747999,21397.291989060832,7783600
2025-02-28,20437.15625,21122.966862416102,20139.971651286352,21054.385801174496,9195200
2025-03-03,20505.73828125,20985.8057326505,20025.670829849496,20117.11224916388,6022800
2025-03-04,20277.134765625,20711.481508067925,20208.553701028748,20482.87795941376,3062000
2025-03-05,21648.755859375,21854.49905128036,20277.13458000594,20368.575998630546,6473400
2025-03-06,22791.7734375,22860.354501003007,21785.917839455866,21923.079966461886,7949000
2025-03-07,21991.66015625,22791.77253199714,21808.7773275078,22791.77253199714,4288900
2025-03-10,21625.89453125,22037.380896538056,21511.59276311443,22014.52054291094,2002700
2025-03-11,21671.615234375,21945.9394778481,21374.43063727914,21625.894527129483,2667100
2025-03-12,21351.5703125,21763.05667826552,21351.5703125,21671.61526365096,2375900
2025-03-13,21077.24609375,21397.291045282,20962.94432534572,21351.57033792028,2738400
2025-03-14,20780.0625,21145.82817656766,20597.17966171617,21122.96782178218,2657100
2025-03-17,21237.26953125,21374.43165954656,20802.922791644243,20802.922791644243,1996100
2025-03-18,20528.59765625,21191.54791463669,20208.55270392539,21191.54791463669,5435500
2025-03-19,20414.296875,20665.760778275475,20208.553681410973,20528.598649216125,4929100
